ID,,Name,Station number,Station altitude (m.a.s.l.),Longitude,Latitude,Area (km2),Median catchment altitude (m.a.s.l.),Maximum catchment altitude (m.a.s.l.),Glaciated area (%)
V,0,Nigardsbrevatn(NigardsjOen),76.5,285,7.242,61.667,65.29,1546,1946,74.9
V,1,FOnnerdalsvatn,46.9,590,6.282,60.067,7.01,1371,1621,47.4
V,2,Gilja,75.22,99,7.621,61.550,203.43,1364,2012,13.8
V,3,Driva v/Risefoss,109.9,556,9.593,62.511,745.38,1347,2283,0.9
V,4,Lovatn,88.4,52,6.890,61.859,234.88,1337,2071,36.8
V,5,Saelthun,73.4,188,7.701,61.053,789.96,1335,1917,0.3
V,6,Kjeldstad i Garbergelva,99.17,455,7.496,62.198,49.86,1325,1850,1.6
V,7,VigdOla,76.11,643,7.330,61.508,45.45,1324,1740,19.8
V,8,Lo bru,73.1,409,7.817,61.059,562.39,1324,1917,0.3
V,9,Myklemyr,76.1,89,7.274,61.506,575.82,1323,2081,31.1
V,10,Feigumfoss,75.28,478,7.445,61.382,48.04,1294,1594,0.0
V,11,HOlen,50.1,123,6.745,60.359,232.73,1277,1686,0.3
V,12,Brekke bru,72.5,16,7.114,60.850,268.16,1273,1761,3.1
V,13,Driva v/Svon,109.21,989,9.549,62.257,136.02,1263,2281,1.0
V,14,Rauma v/Horgheim,103.4,61,7.781,62.473,1099.42,1241,2012,2.2
V,15,Bondhus,46.4,23,6.269,60.116,60.50,1236,1649,40.1
V,16,Reinsnosvatn,48.5,595,6.731,59.969,120.50,1232,1635,1.0
V,17,Eikesdalsvatn,104.2,22,8.124,62.628,1093.43,1226,1961,1.4
V,18,Eidfjordvatn,50.3,19,7.110,60.427,1166.92,1226,1853,2.2
V,19,BOyumselv,78.8,40,6.743,61.449,40.42,1224,1731,43.0
V,20,Driva v/Elverhoy bru,109.42,34,8.694,62.649,2437.41,1217,2283,0.8
V,21,Driva v/GrensehOlen,109.2,220,9.160,62.572,1632.61,1202,2283,0.5
V,22,GrOnengstOlsvatn,83.7,520,6.469,61.443,65.65,1184,1635,31.2
V,23,Dalavatn,109.29,440,8.733,62.608,85.44,1178,1808,0.8
V,24,Krokenelv,75.23,17,7.398,61.347,45.92,1148,1467,0.0
V,25,Midtre Mardalsvatn,104.22,880,8.071,62.510,13.68,1132,1575,9.5
V,26,Sandvenvatn,48.1,87,6.548,60.014,470.22,1090,1651,7.4
V,27,Gloppenelv v/Bergheim,87.1,138,6.521,61.719,217.12,1045,1823,19.2
V,28,Skjerdalselv,86.12,291,5.936,61.816,23.76,1045,1465,18.7
V,29,Byttevatn,83.6,485,6.348,61.344,104.54,1014,1502,1.7
V,30,Sogndalsvatn,77.3,395,7.007,61.298,110.93,1000,1600,6.2
V,31,Oye ndf.,98.4,147,6.931,62.068,138.78,982,1848,3.8
V,32,Skjerping,71.1,60,6.793,60.859,267.79,969,1602,0.1
